id_incidente,fecha_hora_reporte,fecha_hora_resolucion,tipo_incidente,ubicacion,pais,nivel_gravedad,tiempo_respuesta_minutos,estado,dispositivo_asociado,cliente_tipo
INC-00068,2024-02-11 05:41:35,2024-02-11 07:06:35,alarma,Tucumán,Argentina,medio,80.0,cerrado,alarma,empresa
INC-00069,2024-02-11 10:09:05,,robo,Madrid,España,bajo,,abierto,alarma,empresa
INC-00070,2024-02-11 15:07:24,,alarma,São Paulo,Brasil,bajo,,abierto,sensor,empresa
INC-00071,2024-02-11 15:14:04,,robo,Madrid,España,medio,30.0,en proceso,cámara,empresa
INC-00072,2024-02-11 17:07:19,2024-02-11 17:32:19,intrusión,São Paulo,Brasil,crítico,18.0,cerrado,sensor,empresa
INC-00073,2024-02-11 20:39:24,,intrusión,Ciudad de México,México,bajo,60.0,en proceso,cámara,empresa
INC-00074,2024-02-13 01:50:42,2024-02-13 02:44:42,intrusión,Madrid,España,alto,8.0,cerrado,cámara,empresa
INC-00075,2024-02-13 22:56:36,,robo,Buenos Aires,Argentina,bajo,38.0,en proceso,cámara,empresa
INC-00076,2024-02-14 11:18:13,2024-02-14 12:26:13,alarma,Bilbao,España,medio,51.0,cerrado,alarma,empresa
INC-00077,2024-02-14 18:10:08,2024-02-14 19:57:08,robo,Rio de Janeiro,Brasil,alto,51.0,cerrado,cámara,empresa
INC-00078,2024-02-15 04:40:16,,fallo técnico,Tucumán,Argentina,medio,19.0,en proceso,sensor,empresa
INC-00079,2024-02-16 16:39:24,,robo,Madrid,España,bajo,,abierto,alarma,empresa
INC-00080,2024-02-16 22:19:20,2024-02-16 23:21:20,otros,Barcelona,España,crítico,23.0,cerrado,sistema,empresa
INC-00081,2024-02-17 01:18:22,2024-02-17 02:43:22,robo,Fortaleza,Brasil,medio,53.0,cerrado,cámara,particular
INC-00082,2024-02-17 14:01:07,2024-02-17 16:01:07,alarma,São Paulo,Brasil,bajo,69.0,cerrado,cámara,empresa
INC-00083,2024-02-18 09:29:10,,robo,Buenos Aires,Argentina,bajo,39.0,en proceso,cámara,empresa
INC-00084,2024-02-19 01:25:28,2024-02-19 03:28:28,fallo técnico,Guadalajara,México,medio,80.0,cerrado,alarma,particular
INC-00085,2024-02-21 01:05:27,2024-02-21 02:45:27,intrusión,Bogotá,Colombia,alto,40.0,cerrado,cámara,empresa
INC-00086,2024-02-21 15:57:43,,intrusión,Sevilla,España,bajo,,abierto,cámara,particular
INC-00087,2024-02-22 11:29:39,2024-02-22 12:02:39,fallo técnico,São Paulo,Brasil,crítico,12.0,cerrado,sistema,empresa
INC-00088,2024-02-23 13:33:07,2024-02-23 14:33:07,alarma,Guadalajara,México,bajo,20.0,cerrado,alarma,empresa
INC-00089,2024-02-23 16:02:25,2024-02-23 16:40:25,sabotaje,São Paulo,Brasil,crítico,22.0,cerrado,cámara,empresa
INC-00090,2024-02-23 19:03:43,,alarma,Concepción,Chile,bajo,125.0,en proceso,cámara,particular
INC-00091,2024-02-25 04:29:53,2024-02-25 05:42:53,robo,Brasília,Brasil,crítico,28.0,cerrado,alarma,empresa
INC-00092,2024-02-25 05:32:54,2024-02-25 06:29:54,robo,Valencia,España,alto,29.0,cerrado,alarma,empresa
INC-00093,2024-02-25 08:12:39,2024-02-25 08:48:39,alarma,Buenos Aires,Argentina,crítico,19.0,cerrado,alarma,empresa
INC-00094,2024-02-25 11:39:48,2024-02-25 12:33:48,fallo técnico,Bilbao,España,crítico,39.0,cerrado,sistema,particular
INC-00095,2024-02-25 20:06:03,2024-02-25 21:51:03,intrusión,Barcelona,España,medio,63.0,cerrado,alarma,particular
INC-00096,2024-02-25 21:15:16,2024-02-25 23:56:16,robo,Cali,Colombia,bajo,141.0,cerrado,alarma,empresa
INC-00097,2024-02-27 01:51:20,2024-02-27 03:34:20,fallo técnico,Buenos Aires,Argentina,medio,82.0,cerrado,sensor,empresa
INC-00098,2024-02-27 09:14:52,2024-02-27 09:34:52,sabotaje,Buenos Aires,Argentina,alto,7.0,cerrado,cámara,empresa
INC-00099,2024-02-28 15:32:58,2024-02-28 16:45:58,robo,Barcelona,España,medio,44.0,cerrado,cámara,empresa
INC-00100,2024-02-29 14:56:44,2024-02-29 17:44:44,otros,Barcelona,España,bajo,130.0,cerrado,alarma,empresa
INC-00101,2024-03-02 03:54:29,2024-03-02 04:53:29,robo,Ciudad de México,México,crítico,38.0,cerrado,cámara,empresa
INC-00102,2024-03-02 08:30:53,2024-03-02 09:13:53,robo,Ciudad de México,México,medio,42.0,cerrado,cámara,empresa
INC-00103,2024-03-05 07:53:33,2024-03-05 09:06:33,robo,Bilbao,España,crítico,15.0,cerrado,cámara,empresa
INC-00104,2024-03-05 10:00:45,,robo,Guadalajara,México,bajo,69.0,en proceso,cámara,particular
INC-00105,2024-03-08 14:05:05,2024-03-08 17:08:05,robo,Sevilla,España,bajo,142.0,cerrado,cámara,empresa
INC-00106,2024-03-09 02:05:27,2024-03-09 03:27:27,sabotaje,Ciudad de México,México,alto,23.0,cerrado,cámara,particular
INC-00107,2024-03-09 11:37:30,,robo,Madrid,España,bajo,,abierto,cámara,empresa
INC-00108,2024-03-09 17:25:35,2024-03-09 18:13:35,alarma,São Paulo,Brasil,medio,48.0,cerrado,alarma,empresa
INC-00109,2024-03-09 20:23:23,2024-03-09 22:37:23,alarma,Cali,Colombia,bajo,96.0,cerrado,alarma,particular
INC-00110,2024-03-10 03:33:06,,robo,Barcelona,España,medio,48.0,en proceso,cámara,particular
INC-00111,2024-03-10 16:35:20,,otros,São Paulo,Brasil,bajo,,abierto,sistema,empresa
INC-00112,2024-03-10 23:42:40,,fallo técnico,Brasília,Brasil,bajo,,abierto,sensor,particular
INC-00113,2024-03-11 09:07:40,,sabotaje,Rio de Janeiro,Brasil,alto,29.0,en proceso,sistema,empresa
INC-00114,2024-03-11 12:08:06,2024-03-11 13:06:06,robo,Valencia,España,bajo,15.0,cerrado,cámara,empresa
INC-00115,2024-03-13 06:41:31,2024-03-13 08:45:31,alarma,Córdoba,Argentina,bajo,113.0,cerrado,alarma,particular
INC-00116,2024-03-14 04:31:41,,robo,Madrid,España,medio,,abierto,cámara,empresa
INC-00117,2024-03-14 10:14:20,2024-03-14 11:27:20,alarma,Ciudad de México,México,bajo,47.0,cerrado,alarma,particular
INC-00118,2024-03-15 19:36:06,2024-03-15 21:44:06,intrusión,Monterrey,México,bajo,93.0,cerrado,cámara,empresa
INC-00119,2024-03-16 10:41:04,,sabotaje,Zaragoza,España,medio,60.0,en proceso,alarma,particular
INC-00120,2024-03-16 11:37:19,2024-03-16 14:36:19,fallo técnico,Salvador,Brasil,bajo,134.0,cerrado,cámara,particular
INC-00121,2024-03-16 12:10:46,2024-03-16 13:02:46,otros,Valencia,España,crítico,21.0,cerrado,alarma,particular
INC-00122,2024-03-16 16:16:08,2024-03-16 17:36:08,otros,Medellín,Colombia,alto,32.0,cerrado,cámara,particular
INC-00123,2024-03-16 21:03:09,,robo,São Paulo,Brasil,bajo,,abierto,alarma,empresa
INC-00124,2024-03-17 02:12:57,2024-03-17 03:44:57,alarma,Brasília,Brasil,medio,67.0,cerrado,alarma,empresa
INC-00125,2024-03-17 02:21:38,2024-03-17 05:33:38,robo,Bilbao,España,bajo,158.0,cerrado,cámara,particular
INC-00126,2024-03-17 08:21:39,2024-03-17 08:38:39,alarma,Córdoba,Argentina,crítico,12.0,cerrado,alarma,empresa
INC-00127,2024-03-19 04:59:01,,alarma,Ciudad de México,México,bajo,22.0,en proceso,cámara,empresa
INC-00128,2024-03-19 08:07:44,,fallo técnico,Zaragoza,España,alto,12.0,en proceso,sistema,particular
INC-00129,2024-03-21 15:52:04,2024-03-21 18:32:04,otros,Córdoba,Argentina,bajo,156.0,cerrado,sensor,particular
INC-00130,2024-03-21 20:35:17,,alarma,Madrid,España,bajo,,abierto,alarma,empresa
INC-00131,2024-03-23 04:04:08,2024-03-23 05:02:08,robo,Cartagena,Colombia,crítico,24.0,cerrado,cámara,empresa
INC-00132,2024-03-23 07:24:44,2024-03-23 09:56:44,robo,Ciudad de México,México,bajo,151.0,cerrado,cámara,empresa
INC-00133,2024-03-23 10:47:59,2024-03-23 13:55:59,robo,Santiago,Chile,bajo,131.0,cerrado,sistema,particular
INC-00134,2024-03-23 20:11:20,,fallo técnico,Barcelona,España,medio,61.0,en proceso,sistema,empresa
INC-00135,2024-03-23 20:48:02,2024-03-24 00:08:02,robo,Valencia,España,bajo,158.0,cerrado,cámara,empresa
INC-00136,2024-03-24 03:19:50,2024-03-24 05:50:50,alarma,Rio de Janeiro,Brasil,bajo,123.0,cerrado,alarma,particular
INC-00137,2024-03-24 16:45:23,2024-03-24 17:55:23,sabotaje,Valparaíso,Chile,alto,27.0,cerrado,alarma,empresa
INC-00138,2024-03-24 18:36:33,,sabotaje,Santiago,Chile,alto,14.0,en proceso,cámara,particular
INC-00139,2024-03-24 21:27:31,,robo,Monterrey,México,medio,,abierto,cámara,empresa
INC-00140,2024-03-24 23:34:03,,alarma,Rio de Janeiro,Brasil,alto,28.0,en proceso,alarma,empresa
INC-00141,2024-03-25 07:33:45,,otros,Córdoba,Argentina,crítico,7.0,en proceso,sistema,particular
INC-00142,2024-03-25 12:45:50,2024-03-25 14:19:50,intrusión,Barcelona,España,medio,56.0,cerrado,sensor,particular
INC-00143,2024-03-26 19:09:05,2024-03-26 21:15:05,otros,Cali,Colombia,bajo,104.0,cerrado,sensor,empresa
INC-00144,2024-03-27 10:24:46,2024-03-27 11:16:46,intrusión,Rio de Janeiro,Brasil,bajo,28.0,cerrado,cámara,empresa
INC-00145,2024-03-28 07:42:42,,robo,Monterrey,México,bajo,,abierto,alarma,particular
INC-00146,2024-03-28 12:25:44,,otros,Córdoba,Argentina,medio,16.0,en proceso,sistema,empresa
INC-00147,2024-03-28 13:31:35,2024-03-28 16:30:35,sabotaje,Madrid,España,bajo,130.0,cerrado,cámara,particular
INC-00148,2024-03-28 19:30:55,2024-03-28 20:55:55,robo,Concepción,Chile,alto,34.0,cerrado,alarma,empresa
INC-00149,2024-03-28 23:09:22,2024-03-29 01:05:22,robo,Bilbao,España,medio,72.0,cerrado,cámara,empresa
INC-00150,2024-03-29 14:15:48,2024-03-29 15:34:48,alarma,Barcelona,España,bajo,79.0,cerrado,cámara,particular
INC-00151,2024-03-30 01:06:33,,alarma,Buenos Aires,Argentina,bajo,54.0,en proceso,alarma,empresa
INC-00152,2024-03-30 03:49:51,,sabotaje,Ciudad de México,México,medio,20.0,en proceso,cámara,particular
INC-00153,2024-03-30 04:26:12,2024-03-30 05:02:12,robo,Córdoba,Argentina,alto,24.0,cerrado,sensor,empresa
INC-00154,2024-03-30 05:50:16,,alarma,Madrid,España,medio,33.0,en proceso,alarma,particular
INC-00155,2024-03-30 13:11:10,2024-03-30 16:27:10,intrusión,Madrid,España,bajo,182.0,cerrado,alarma,empresa
INC-00156,2024-03-30 14:47:26,2024-03-30 16:46:26,sabotaje,Monterrey,México,medio,72.0,cerrado,sensor,particular
INC-00157,2024-03-30 21:40:38,2024-03-30 22:25:38,alarma,Ciudad de México,México,medio,44.0,cerrado,alarma,empresa
INC-00158,2024-03-30 22:38:59,2024-03-31 00:20:59,intrusión,Rio de Janeiro,Brasil,medio,54.0,cerrado,cámara,particular
INC-00159,2024-03-31 03:15:27,,otros,São Paulo,Brasil,alto,21.0,en proceso,sensor,empresa
INC-00160,2024-03-31 09:22:26,2024-03-31 11:22:26,intrusión,Ciudad de México,México,medio,62.0,cerrado,sistema,empresa
INC-00161,2024-03-31 13:40:27,2024-03-31 14:40:27,sabotaje,Rio de Janeiro,Brasil,alto,15.0,cerrado,sistema,particular
INC-00162,2024-03-31 20:58:17,2024-03-31 22:13:17,fallo técnico,Santiago,Chile,medio,53.0,cerrado,sistema,empresa
INC-00163,2024-04-01 06:58:52,2024-04-01 07:53:52,intrusión,Santiago,Chile,bajo,43.0,cerrado,cámara,particular
INC-00164,2024-04-01 15:05:43,2024-04-01 16:13:43,sabotaje,Buenos Aires,Argentina,medio,63.0,cerrado,sensor,empresa
INC-00165,2024-04-02 04:56:37,2024-04-02 06:21:37,otros,Valencia,España,medio,33.0,cerrado,sensor,particular
INC-00166,2024-04-02 19:14:01,2024-04-02 20:52:01,robo,Barcelona,España,medio,59.0,cerrado,cámara,empresa
INC-00167,2024-04-02 22:41:58,,fallo técnico,Ciudad de México,México,bajo,,abierto,sistema,particular
INC-00168,2024-04-05 10:29:43,,intrusión,Salvador,Brasil,bajo,,abierto,cámara,empresa
INC-00169,2024-04-05 16:38:01,2024-04-05 18:44:01,alarma,Bogotá,Colombia,bajo,86.0,cerrado,sistema,empresa
INC-00170,2024-04-06 06:30:24,2024-04-06 08:39:24,robo,Cartagena,Colombia,bajo,110.0,cerrado,alarma,particular
INC-00171,2024-04-07 04:30:20,,alarma,Rio de Janeiro,Brasil,alto,16.0,en proceso,sensor,empresa
INC-00172,2024-04-07 09:02:46,2024-04-07 09:58:46,fallo técnico,Bogotá,Colombia,alto,42.0,cerrado,sistema,empresa
INC-00173,2024-04-07 10:42:16,2024-04-07 11:25:16,fallo técnico,Puebla,México,alto,29.0,cerrado,sistema,particular
INC-00174,2024-04-08 18:35:53,2024-04-08 20:58:53,otros,Rio de Janeiro,Brasil,bajo,112.0,cerrado,cámara,particular
INC-00175,2024-04-10 18:31:21,2024-04-10 20:57:21,robo,Fortaleza,Brasil,bajo,123.0,cerrado,cámara,particular
INC-00176,2024-04-11 11:21:52,2024-04-11 12:56:52,intrusión,Santiago,Chile,medio,93.0,cerrado,alarma,particular
INC-00177,2024-04-12 12:50:21,2024-04-12 14:05:21,intrusión,Rosario,Argentina,bajo,58.0,cerrado,sensor,empresa
INC-00178,2024-04-13 08:39:38,,fallo técnico,Buenos Aires,Argentina,bajo,24.0,en proceso,cámara,empresa
INC-00179,2024-04-13 17:53:47,2024-04-13 19:33:47,fallo técnico,Rio de Janeiro,Brasil,medio,55.0,cerrado,sistema,empresa
INC-00180,2024-04-13 19:55:16,2024-04-13 21:44:16,alarma,Buenos Aires,Argentina,medio,64.0,cerrado,alarma,particular
INC-00181,2024-04-14 03:22:54,,intrusión,Puebla,México,bajo,,abierto,sensor,empresa
INC-00182,2024-04-14 04:45:28,,sabotaje,Bilbao,España,medio,43.0,en proceso,cámara,empresa
INC-00183,2024-04-14 11:35:20,2024-04-14 12:27:20,alarma,Rosario,Argentina,medio,52.0,cerrado,alarma,particular
INC-00184,2024-04-15 02:36:46,2024-04-15 03:34:46,robo,Valencia,España,bajo,46.0,cerrado,alarma,empresa
INC-00185,2024-04-18 14:20:26,2024-04-18 16:26:26,fallo técnico,Zaragoza,España,medio,74.0,cerrado,sistema,empresa
INC-00186,2024-04-18 19:51:39,,fallo técnico,Tijuana,México,bajo,71.0,en proceso,sistema,empresa
INC-00187,2024-04-19 07:20:35,2024-04-19 10:29:35,intrusión,Santiago,Chile,bajo,182.0,cerrado,cámara,particular
INC-00188,2024-04-19 09:28:23,,robo,Rio de Janeiro,Brasil,medio,35.0,en proceso,alarma,particular
INC-00189,2024-04-19 11:24:27,2024-04-19 13:34:27,robo,Madrid,España,medio,94.0,cerrado,cámara,empresa
INC-00190,2024-04-19 20:37:16,2024-04-19 21:23:16,alarma,Bogotá,Colombia,alto,14.0,cerrado,alarma,particular
INC-00191,2024-04-20 09:36:43,2024-04-20 11:12:43,fallo técnico,Bogotá,Colombia,bajo,65.0,cerrado,sistema,empresa
INC-00192,2024-04-20 15:31:14,2024-04-20 17:02:14,alarma,Barcelona,España,bajo,81.0,cerrado,cámara,empresa
INC-00193,2024-04-20 17:23:07,2024-04-20 19:16:07,sabotaje,Rio de Janeiro,Brasil,medio,78.0,cerrado,alarma,particular
INC-00194,2024-04-20 20:24:14,2024-04-20 22:19:14,intrusión,Buenos Aires,Argentina,medio,103.0,cerrado,cámara,particular
INC-00195,2024-04-21 06:34:28,2024-04-21 08:10:28,robo,São Paulo,Brasil,medio,54.0,cerrado,cámara,particular
INC-00196,2024-04-21 13:13:39,2024-04-21 14:36:39,robo,Cartagena,Colombia,medio,36.0,cerrado,cámara,empresa
INC-00197,2024-04-21 19:05:53,2024-04-21 20:03:53,robo,Ciudad de México,México,alto,22.0,cerrado,alarma,empresa
INC-00198,2024-04-22 05:50:43,2024-04-22 07:20:43,alarma,Bilbao,España,medio,47.0,cerrado,alarma,empresa
INC-00199,2024-04-22 14:20:26,2024-04-22 15:59:26,fallo técnico,Salvador,Brasil,medio,56.0,cerrado,sistema,empresa
INC-00200,2024-04-24 15:48:27,2024-04-24 17:14:27,sabotaje,Concepción,Chile,alto,48.0,cerrado,sensor,empresa
INC-00201,2024-04-24 17:57:32,2024-04-24 19:10:32,robo,São Paulo,Brasil,crítico,37.0,cerrado,alarma,empresa
INC-00202,2024-04-25 20:38:04,,intrusión,Barcelona,España,medio,22.0,en proceso,cámara,empresa
INC-00203,2024-04-26 00:15:51,2024-04-26 00:59:51,robo,Zaragoza,España,medio,7.0,cerrado,cámara,empresa
INC-00204,2024-04-26 15:33:40,2024-04-26 16:51:40,robo,São Paulo,Brasil,medio,70.0,cerrado,cámara,empresa
INC-00205,2024-04-27 17:48:17,,intrusión,Buenos Aires,Argentina,crítico,8.0,en proceso,alarma,particular
INC-00206,2024-04-28 01:00:54,,robo,Buenos Aires,Argentina,alto,10.0,en proceso,cámara,particular
INC-00207,2024-04-28 07:46:28,2024-04-28 09:47:28,intrusión,São Paulo,Brasil,medio,62.0,cerrado,cámara,empresa
INC-00208,2024-04-28 12:07:35,2024-04-28 13:29:35,robo,Buenos Aires,Argentina,alto,46.0,cerrado,alarma,empresa
INC-00209,2024-04-28 14:25:30,2024-04-28 16:29:30,alarma,Buenos Aires,Argentina,bajo,70.0,cerrado,sensor,empresa
INC-00210,2024-04-28 17:08:24,2024-04-28 19:10:24,alarma,Rosario,Argentina,bajo,108.0,cerrado,sensor,empresa
INC-00211,2024-04-28 19:03:19,2024-04-28 21:26:19,intrusión,Buenos Aires,Argentina,medio,87.0,cerrado,alarma,particular
INC-00212,2024-04-29 01:19:31,2024-04-29 02:57:31,alarma,Sevilla,España,bajo,65.0,cerrado,alarma,empresa
INC-00213,2024-04-30 08:45:28,,fallo técnico,Valparaíso,Chile,medio,,abierto,sistema,empresa
INC-00214,2024-04-30 16:27:49,,fallo técnico,Madrid,España,alto,36.0,en proceso,sensor,empresa
INC-00215,2024-04-30 21:08:57,,otros,Ciudad de México,México,bajo,39.0,en proceso,sistema,particular
INC-00216,2024-05-01 03:25:23,,robo,Brasília,Brasil,bajo,,abierto,sensor,particular
INC-00217,2024-05-01 22:09:44,,alarma,Guadalajara,México,medio,55.0,en proceso,sensor,empresa
INC-00218,2024-05-02 23:27:11,2024-05-03 00:17:11,alarma,Zaragoza,España,alto,49.0,cerrado,sistema,empresa
INC-00219,2024-05-04 14:42:33,,fallo técnico,Monterrey,México,alto,21.0,en proceso,alarma,particular
INC-00220,2024-05-04 18:59:06,2024-05-04 19:50:06,alarma,Córdoba,Argentina,crítico,7.0,cerrado,sensor,empresa
